R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G4/17R45H,G4/18L45H,0,0,G4/17R16F,G4/18L18F,G4/17R16G,G4/18L16G
G4/17R46H,G4/18L46H,0,0,G4/17R17F,G4/18L19F,G4/17R17G,G4/18L17G
G4/17R47H,G4/18L47H,0,0,G4/17R18F,G4/18L20F,G4/17R18G,G4/18L18G
G4/17R48H,G4/18L48H,0,0,G4/17R19F,G4/18L21F,G4/17R19G,G4/18L19G
G4/17R49H,G4/18L49H,0,0,G4/17R20F,G4/18L22F,G4/17R20G,G4/18L20G
G4/17R50H,G4/18L50H,0,0,G4/17R21F,G4/18L23F,G4/17R21G,G4/18L21G
G4/17R51H,G4/18L51H,0,0,G4/17R22F,G4/18L24F,G4/17R22G,G4/18L22G
G4/17R52H,G4/18L52H,0,0,G4/17R23F,G4/18L25F,G4/17R23G,G4/18L23G
G4/17R53H,G4/18L53H,0,0,G4/17R24F,G4/18L26F,G4/17R24G,G4/18L24G
G4/17R54H,G4/18L54H,0,0,G4/17R25F,G4/18L27F,G4/17R25G,G4/18L25G
G4/17R55H,G4/18L55H,0,0,G4/17R26F,G4/18L28F,G4/17R26G,G4/18L26G
G4/17R56H,G4/18L56H,0,0,G4/17R27F,G4/18L29F,G4/17R27G,G4/18L27G
G4/17R57H,G4/18L57H,0,0,G4/17R28F,G4/18L30F,G4/17R28G,G4/18L28G
G4/16R12H,G4/17L12H,G4/16R1H,G4/17L1H,G4/17R29F,G4/18L31F,G4/17R29G,G4/18L29G
G4/16R13H,G4/17L13H,G4/16R2H,G4/17L2H,G4/17R30F,G4/18L32F,G4/17R30G,G4/18L30G
G4/16R14H,G4/17L14H,G4/16R3H,G4/17L3H,G4/17R31F,G4/18L33F,G4/17R31G,G4/18L31G
G4/16R15H,G4/17L15H,G4/16R4H,G4/17L4H,G4/17R32F,G4/18L34F,G4/17R32G,G4/18L32G
G4/16R16H,G4/17L16H,G4/16R5H,G4/17L5H,G4/17R33F,G4/18L35F,G4/17R33G,G4/18L33G
G4/16R17H,G4/17L17H,G4/16R6H,G4/17L6H,G4/17R34F,G4/18L36F,G4/17R34G,G4/18L34G
G4/16R18H,G4/17L18H,G4/16R7H,G4/17L7H,G4/17R35F,G4/18L37F,G4/17R35G,G4/18L35G
G4/16R19H,G4/17L19H,G4/16R8H,G4/17L8H,G4/17R36F,G4/18L38F,G4/17R36G,G4/18L36G
G4/16R20H,G4/17L20H,G4/16R9H,G4/17L9H,G4/17R37F,G4/18L39F,G4/17R37G,G4/18L37G
G4/16R21H,G4/17L21H,G4/16R10H,G4/17L10H,G4/17R38F,G4/18L40F,G4/17R38G,G4/18L38G
G4/16R22H,G4/17L22H,G4/16R11H,G4/17L11H,G4/17R39F,G4/18L41F,G4/17R39G,G4/18L39G
G4/16R23H,G4/17L23H,0,0,G4/17R40F,G4/18L42F,G4/17R40G,G4/18L40G
G4/16R24H,G4/17L24H,0,0,G4/17R41F,G4/18L43F,G4/17R41G,G4/18L41G
G4/16R25H,G4/17L25H,0,0,G4/17R42F,G4/18L44F,G4/17R42G,G4/18L42G
G4/16R26H,G4/17L26H,0,0,G4/17R43F,G4/18L45F,G4/17R43G,G4/18L43G
G4/16R27H,G4/17L27H,0,0,G4/17R44F,G4/18L46F,G4/17R44G,G4/18L44G
G4/16R28H,G4/17L28H,0,0,G4/17R45F,G4/18L47F,G4/17R45G,G4/18L45G
G4/16R29H,G4/17L29H,0,0,G4/17R46F,G4/18L48F,G4/17R46G,G4/18L46G
G4/16R30H,G4/17L30H,0,0,G4/17R47F,G4/18L49F,G4/17R47G,G4/18L47G
G4/16R35H,G4/17L35H,G4/16R59H,G4/17L59H,G4/17R48F,G4/18L50F,G4/17R48G,G4/18L48G
G4/16R36H,G4/17L36H,G4/16R60H,G4/17L60H,G4/17R49F,G4/18L51F,G4/17R49G,G4/18L49G
G4/16R37H,G4/17L37H,G4/16R61H,G4/17L61H,G4/17R50F,G4/18L52F,G4/17R50G,G4/18L50G
G4/16R38H,G4/17L38H,G4/16R62H,G4/17L62H,G4/17R51F,G4/18L53F,G4/17R51G,G4/18L51G
G4/16R39H,G4/17L39H,G4/16R63H,G4/17L63H,G4/17R52F,G4/18L54F,G4/17R52G,G4/18L52G
G4/16R40H,G4/17L40H,G4/16R64H,G4/17L64H,G4/17R53F,G4/18L55F,G4/17R53G,G4/18L53G
G4/16R41H,G4/17L41H,0,0,G4/17R54F,G4/18L56F,G4/17R54G,G4/18L54G
G4/16R42H,G4/17L42H,0,0,G4/17R55F,G4/18L57F,G4/17R55G,G4/18L55G
G4/16R43H,G4/17L43H,0,0,G4/17R56F,G4/18L58F,G4/17R56G,G4/18L56G
G4/16R44H,G4/17L44H,0,0,G4/17R57F,G4/18L59F,G4/17R57G,G4/18L57G
G4/16R45H,G4/17L45H,0,0,G4/17R58F,G4/18L60F,G4/17R58G,G4/18L58G
G4/16R46H,G4/17L46H,0,0,G4/17R59F,G4/18L61F,G4/17R59G,G4/18L59G
G4/16R47H,G4/17L47H,0,0,G4/17R60F,G4/18R61F,G4/17R60G,G4/18L60G
G4/16R48H,G4/17L48H,0,0,G4/17R61F,G4/17R1F,G4/17R61G,G4/18L61G
G4/16R49H,G4/17L49H,0,0,G4/17R63F,G4/17L2F,G4/17R62G,G4/18L62G
G4/16R50H,G4/17L50H,0,0,G4/16R1F,G4/17L3F,G4/16R1G,G4/17L1G
G4/16R51H,G4/17L51H,0,0,G4/16R2F,G4/17L4F,G4/16R2G,G4/17L2G
G4/16R52H,G4/17L52H,0,0,G4/16R3F,G4/17L5F,G4/16R3G,G4/17L3G
G4/16R53H,G4/17L53H,0,0,G4/16R4F,G4/17L6F,G4/16R4G,G4/17L4G
G4/16R54H,G4/17L54H,0,0,G4/16R5F,G4/17L7F,G4/16R5G,G4/17L5G
G4/16R55H,G4/17L55H,0,0,G4/16R6F,G4/17L8F,G4/16R6G,G4/17L6G
G4/16R56H,G4/17L56H,0,0,G4/16R7F,G4/17L9F,G4/16R7G,G4/17L7G
G4/16R57H,G4/17L57H,0,0,G4/16R8F,G4/17L10F,G4/16R8G,G4/17L8G
G4/16R58H,G4/17L58H,0,0,G4/16R9F,G4/17L11F,G4/16R9G,G4/17L9G
G4/15R12H,G4/16L12H,G4/15R1H,G4/16L1H,G4/16R10F,G4/17L12F,G4/16R10G,G4/17L10G
G4/15R13H,G4/16L13H,G4/15R2H,G4/16L2H,G4/16R11F,G4/17L13F,G4/16R11G,G4/17L11G
G4/15R14H,G4/16L14H,G4/15R3H,G4/16L3H,G4/16R12F,G4/17L14F,G4/16R12G,G4/17L12G
G4/15R15H,G4/16L15H,G4/15R4H,G4/16L4H,G4/16R13F,G4/17L15F,G4/16R13G,G4/17L13G
G4/15R16H,G4/16L16H,G4/15R5H,G4/16L5H,G4/16R14F,G4/17L16F,G4/16R14G,G4/17L14G
G4/15R17H,G4/16L17H,G4/15R6H,G4/16L6H,G4/16R15F,G4/17L17F,G4/16R15G,G4/17L15G
G4/15R18H,G4/16L18H,G4/15R7H,G4/16L7H,G4/16R16F,G4/17L18F,G4/16R16G,G4/17L16G
G4/15R19H,G4/16L19H,G4/15R8H,G4/16L8H,G4/16R17F,G4/17L19F,G4/16R17G,G4/17L17G
G4/15R20H,G4/16L20H,G4/15R9H,G4/16L9H,G4/16R18F,G4/17L20F,G4/16R18G,G4/17L18G
G4/15R21H,G4/16L21H,G4/15R10H,G4/16L10H,G4/16R19F,G4/17L21F,G4/16R19G,G4/17L19G
